customerID;SeniorCitizen;tenure;Contract;PaymentMethod;MonthlyCharges;Churn;tenure_group;auto_payment
7590-VHVEG;No;1;Month-to-month;Electronic check;29.85;No;< 1 ano;Manual
5575-GNVDE;No;34;One year;Mailed check;56.95;No;> 2 anos;Manual
3668-QPYBK;No;2;Month-to-month;Mailed check;53.85;Yes;< 1 ano;Manual
7795-CFOCW;No;45;One year;Bank transfer (automatic);42.3;No;> 2 anos;Automatico
9237-HQITU;No;2;Month-to-month;Electronic check;70.7;Yes;< 1 ano;Manual
9305-CDSKC;No;8;Month-to-month;Electronic check;99.65;Yes;< 1 ano;Manual
1452-KIOVK;No;22;Month-to-month;Credit card (automatic);89.1;No;1-2 anos;Automatico
6713-OKOMC;No;10;Month-to-month;Mailed check;29.75;No;< 1 ano;Manual
7892-POOKP;No;28;Month-to-month;Electronic check;104.8;Yes;> 2 anos;Manual
6388-TABGU;No;62;One year;Bank transfer (automatic);56.15;No;> 2 anos;Automatico
9763-GRSKD;No;13;Month-to-month;Mailed check;49.95;No;1-2 anos;Manual
7469-LKBCI;No;16;Two year;Credit card (automatic);18.95;No;1-2 anos;Automatico
8091-TTVAX;No;58;One year;Credit card (automatic);100.35;No;> 2 anos;Automatico
0280-XJGEX;No;49;Month-to-month;Bank transfer (automatic);103.7;Yes;> 2 anos;Automatico
5129-JLPIS;No;25;Month-to-month;Electronic check;105.5;No;> 2 anos;Manual
3655-SNQYZ;No;69;Two year;Credit card (automatic);113.25;No;> 2 anos;Automatico
8191-XWSZG;No;52;One year;Mailed check;20.65;No;> 2 anos;Manual
9959-WOFKT;No;71;Two year;Bank transfer (automatic);106.7;No;> 2 anos;Automatico
4190-MFLUW;No;10;Month-to-month;Credit card (automatic);55.2;Yes;< 1 ano;Automatico
4183-MYFRB;No;21;Month-to-month;Electronic check;90.05;No;1-2 anos;Manual
8779-QRDMV;Yes;1;Month-to-month;Electronic check;39.65;Yes;< 1 ano;Manual
1680-VDCWW;No;12;One year;Bank transfer (automatic);19.8;No;1-2 anos;Automatico
1066-JKSGK;No;1;Month-to-month;Mailed check;20.15;Yes;< 1 ano;Manual
3638-WEABW;No;58;Two year;Credit card (automatic);59.9;No;> 2 anos;Automatico
6322-HRPFA;No;49;Month-to-month;Credit card (automatic);59.6;No;> 2 anos;Automatico
6865-JZNKO;No;30;Month-to-month;Bank transfer (automatic);55.3;No;> 2 anos;Automatico
6467-CHFZW;No;47;Month-to-month;Electronic check;99.35;Yes;> 2 anos;Manual
8665-UTDHZ;No;1;Month-to-month;Electronic check;30.2;Yes;< 1 ano;Manual
5248-YGIJN;No;72;Two year;Credit card (automatic);90.25;No;> 2 anos;Automatico
8773-HHUOZ;No;17;Month-to-month;Mailed check;64.7;Yes;1-2 anos;Manual
3841-NFECX;Yes;71;Two year;Credit card (automatic);96.35;No;> 2 anos;Automatico
4929-XIHVW;Yes;2;Month-to-month;Credit card (automatic);95.5;No;< 1 ano;Automatico
6827-IEAUQ;No;27;One year;Mailed check;66.15;No;> 2 anos;Manual
7310-EGVHZ;No;1;Month-to-month;Bank transfer (automatic);20.2;No;< 1 ano;Automatico
3413-BMNZE;Yes;1;Month-to-month;Bank transfer (automatic);45.25;No;< 1 ano;Automatico
6234-RAAPL;No;72;Two year;Bank transfer (automatic);99.9;No;> 2 anos;Automatico
6047-YHPVI;No;5;Month-to-month;Electronic check;69.7;Yes;< 1 ano;Manual
6572-ADKRS;No;46;Month-to-month;Credit card (automatic);74.8;No;> 2 anos;Automatico
5380-WJKOV;No;34;Month-to-month;Electronic check;106.35;Yes;> 2 anos;Manual
8168-UQWWF;No;11;Month-to-month;Bank transfer (automatic);97.85;Yes;< 1 ano;Automatico
8865-TNMNX;No;10;One year;Mailed check;49.55;No;< 1 ano;Manual
9489-DEDVP;No;70;Two year;Credit card (automatic);69.2;No;> 2 anos;Automatico
9867-JCZSP;No;17;One year;Mailed check;20.75;No;1-2 anos;Manual
4671-VJLCL;No;63;Two year;Credit card (automatic);79.85;No;> 2 anos;Automatico
4080-IIARD;No;13;Month-to-month;Electronic check;76.2;No;1-2 anos;Manual
3714-NTNFO;No;49;Month-to-month;Electronic check;84.5;No;> 2 anos;Manual
5948-UJZLF;No;2;Month-to-month;Mailed check;49.25;No;< 1 ano;Manual
7760-OYPDY;No;2;Month-to-month;Electronic check;80.65;Yes;< 1 ano;Manual
7639-LIAYI;No;52;Two year;Credit card (automatic);79.75;No;> 2 anos;Automatico
2954-PIBKO;No;69;Two year;Credit card (automatic);64.15;No;> 2 anos;Automatico
