customerID;SeniorCitizen;tenure;Contract;PaymentMethod;MonthlyCharges;Churn;tenure_group;auto_payment;churn_prob;pred
1452-KIOVK;No;22;Month-to-month;Credit card (automatic);89.1;No;1-2 anos;Automatico;0.44958829349511203;Yes
7892-POOKP;No;28;Month-to-month;Electronic check;104.8;Yes;> 2 anos;Manual;0.5872125334451787;Yes
9763-GRSKD;No;13;Month-to-month;Mailed check;49.95;No;1-2 anos;Manual;0.3479463551502392;Yes
7469-LKBCI;No;16;Two year;Credit card (automatic);18.95;No;1-2 anos;Automatico;0.024054034234201403;No
3655-SNQYZ;No;69;Two year;Credit card (automatic);113.25;No;> 2 anos;Automatico;0.04867001215133767;No
4183-MYFRB;No;21;Month-to-month;Electronic check;90.05;No;1-2 anos;Manual;0.5480825899945176;Yes
6572-ADKRS;No;46;Month-to-month;Credit card (automatic);74.8;No;> 2 anos;Automatico;0.19185862533262046;No
8168-UQWWF;No;11;Month-to-month;Bank transfer (automatic);97.85;Yes;< 1 ano;Automatico;0.6045216845310819;Yes
4671-VJLCL;No;63;Two year;Credit card (automatic);79.85;No;> 2 anos;Automatico;0.02460437126622172;No
7639-LIAYI;No;52;Two year;Credit card (automatic);79.75;No;> 2 anos;Automatico;0.035693817216287844;No
0526-SXDJP;No;72;Two year;Bank transfer (automatic);42.1;No;> 2 anos;Automatico;0.0064753372141698245;No
5122-CYFXA;No;3;Month-to-month;Electronic check;75.3;No;< 1 ano;Manual;0.6033958278639807;Yes
8627-ZYGSZ;No;47;One year;Electronic check;78.9;No;> 2 anos;Manual;0.11425736383128532;No
2273-QCKXA;No;1;Month-to-month;Mailed check;49.05;No;< 1 ano;Manual;0.4423915545033416;Yes
0731-EBJQB;No;52;One year;Electronic check;20.4;No;> 2 anos;Manual;0.021226499785715624;No
6416-JNVRK;No;46;One year;Credit card (automatic);55.65;No;> 2 anos;Automatico;0.048072047366130896;No
5919-TMRGD;No;1;Month-to-month;Electronic check;79.35;Yes;< 1 ano;Manual;0.6459190995998708;Yes
8108-UXRQN;No;11;Month-to-month;Electronic check;50.55;No;< 1 ano;Manual;0.36786974823245033;Yes
9191-MYQKX;No;7;Month-to-month;Bank transfer (automatic);75.15;Yes;< 1 ano;Automatico;0.4852592683613803;Yes
1862-QRWPE;No;48;Two year;Bank transfer (automatic);20.65;No;> 2 anos;Automatico;0.008326219265651311;No
9848-JQJTX;No;72;Two year;Bank transfer (automatic);100.9;No;> 2 anos;Automatico;0.031753023998205863;No
9803-FTJCG;No;71;One year;Credit card (automatic);66.85;No;> 2 anos;Automatico;0.02776468586575465;No
3212-KXOCR;No;52;Two year;Bank transfer (automatic);21;No;> 2 anos;Automatico;0.007312603799980144;No
5386-THSLQ;Yes;66;One year;Bank transfer (automatic);45.55;No;> 2 anos;Automatico;0.028592676084722452;No
6180-YBIQI;No;5;Month-to-month;Mailed check;24.3;No;< 1 ano;Manual;0.25883862833771626;No
4549-ZDQYY;No;52;One year;Credit card (automatic);57.95;No;> 2 anos;Automatico;0.041755933041806956;No
3071-VBYPO;No;3;Month-to-month;Electronic check;89.85;No;< 1 ano;Manual;0.6941201267175671;Yes
8402-OOOHJ;No;41;Two year;Mailed check;20.65;No;> 2 anos;Manual;0.014771777330342755;No
4412-YLTKF;Yes;27;Month-to-month;Electronic check;78.05;Yes;> 2 anos;Manual;0.5231041314581982;Yes
6734-PSBAW;No;72;Two year;Bank transfer (automatic);23.55;No;> 2 anos;Automatico;0.0038995315856982364;No
2639-UGMAZ;Yes;71;One year;Electronic check;56.45;No;> 2 anos;Manual;0.04446396591323161;No
8587-XYZSF;No;67;Two year;Bank transfer (automatic);50.55;No;> 2 anos;Automatico;0.009703671228031693;No
7799-LGRDP;No;43;Two year;Credit card (automatic);25.7;No;> 2 anos;Automatico;0.011366483878032638;No
3146-MSEGF;Yes;72;Two year;Credit card (automatic);88.05;No;> 2 anos;Automatico;0.034535334693564484;No
4080-OGPJL;No;8;Month-to-month;Electronic check;71.15;Yes;< 1 ano;Manual;0.5324631813391595;Yes
2135-RXIHG;No;1;Month-to-month;Electronic check;45.65;Yes;< 1 ano;Manual;0.41948450974815993;Yes
3874-EQOEP;No;7;Month-to-month;Mailed check;95;Yes;< 1 ano;Manual;0.6943466248353456;Yes
1679-JRFBR;No;70;One year;Credit card (automatic);108.15;No;> 2 anos;Automatico;0.08425868249836481;No
2749-CTKAJ;No;22;One year;Mailed check;20.15;No;1-2 anos;Manual;0.05816480322253828;No
6371-NZYEG;No;16;Two year;Mailed check;64.25;No;1-2 anos;Manual;0.10676047196928622;No
4648-YPBTM;No;53;Two year;Bank transfer (automatic);73.9;No;> 2 anos;Automatico;0.02953225163938642;No
5997-OPVFA;No;72;Two year;Bank transfer (automatic);89.05;No;> 2 anos;Automatico;0.023132236598365368;No
1159-WFSGR;No;16;Month-to-month;Electronic check;20.4;No;1-2 anos;Manual;0.17574920943744696;No
5947-SGKCL;No;15;Month-to-month;Bank transfer (automatic);105.35;No;1-2 anos;Automatico;0.6201026622178849;Yes
1024-GUALD;No;1;Month-to-month;Electronic check;24.8;Yes;< 1 ano;Manual;0.28949770128019103;Yes
8167-GJLRN;No;3;Month-to-month;Electronic check;30.4;No;< 1 ano;Manual;0.30700310309967577;Yes
0956-SYCWG;No;13;One year;Electronic check;19.65;No;1-2 anos;Manual;0.07710990366864534;No
7100-FQPRV;No;43;One year;Credit card (automatic);71.9;No;> 2 anos;Automatico;0.08062246753986134;No
2984-RGEYA;No;69;Two year;Bank transfer (automatic);19.75;No;> 2 anos;Automatico;0.0039030958029269676;No
2146-EGVDT;No;59;Two year;Credit card (automatic);19.3;No;> 2 anos;Automatico;0.0054682315245335135;No
2604-IJPDU;No;20;Month-to-month;Electronic check;96.55;No;1-2 anos;Manual;0.6002847434047827;Yes
3363-DTIVD;No;71;Two year;Electronic check;105.55;No;> 2 anos;Manual;0.05114620239083008;No
7018-WBJNK;No;13;Month-to-month;Credit card (automatic);78.3;No;1-2 anos;Automatico;0.4543535891007068;Yes
6348-SNFUS;No;72;Two year;Credit card (automatic);55.45;No;> 2 anos;Automatico;0.009318282632812674;No
7841-TZDMQ;No;2;Month-to-month;Credit card (automatic);46;Yes;< 1 ano;Automatico;0.3352737001080722;Yes
4195-NZGTA;No;1;Month-to-month;Electronic check;25.25;No;< 1 ano;Manual;0.29204775159703156;Yes
4709-LKHYG;No;29;One year;Electronic check;20;No;> 2 anos;Manual;0.04589322922242406;No
2504-DSHIH;Yes;23;Month-to-month;Electronic check;86.8;No;1-2 anos;Manual;0.6161815529099292;Yes
0699-NDKJM;No;57;Month-to-month;Bank transfer (automatic);58.75;No;> 2 anos;Automatico;0.09404212045765785;No
0742-MOABM;No;4;Month-to-month;Mailed check;50.05;Yes;< 1 ano;Manual;0.4232807958554292;Yes
6341-JVQGF;No;31;One year;Mailed check;81.15;No;> 2 anos;Manual;0.19398081770558606;No
8937-RDTHP;No;1;Month-to-month;Mailed check;84.6;Yes;< 1 ano;Manual;0.6781784026619073;Yes
1984-GPTEH;No;29;Month-to-month;Electronic check;25.15;No;> 2 anos;Manual;0.1333853318408388;No
1251-KRREG;No;2;Month-to-month;Mailed check;54.4;Yes;< 1 ano;Manual;0.4701450848708239;Yes
6614-FHDBO;No;72;Two year;Bank transfer (automatic);109.2;No;> 2 anos;Automatico;0.03956564630043179;No
7576-ASEJU;No;41;One year;Credit card (automatic);74.7;No;> 2 anos;Automatico;0.09222595233332168;No
0221-WMXNQ;Yes;4;Month-to-month;Electronic check;75.35;No;< 1 ano;Manual;0.6954815499986594;Yes
0322-YINQP;No;1;Month-to-month;Mailed check;48.55;Yes;< 1 ano;Manual;0.43900502404398384;Yes
0959-WHOKV;No;42;One year;Electronic check;99;No;> 2 anos;Manual;0.21080405851157052;No
5046-NUHWD;Yes;29;Month-to-month;Electronic check;45;No;> 2 anos;Manual;0.2919525735194664;Yes
7529-ZDFXI;Yes;57;Month-to-month;Electronic check;89.85;No;> 2 anos;Manual;0.3460072898106552;Yes
7605-BDWDC;No;31;Two year;Bank transfer (automatic);49.85;No;> 2 anos;Automatico;0.0329043824065716;No
1950-KSVVJ;No;45;One year;Mailed check;113.3;No;> 2 anos;Manual;0.2626046816626026;Yes
0123-CRBRT;No;61;Two year;Mailed check;88.1;No;> 2 anos;Manual;0.045262828754285646;No
3197-ARFOY;Yes;19;Month-to-month;Mailed check;105;No;1-2 anos;Manual;0.7528623921545465;Yes
7014-ZZXAW;No;71;Two year;Credit card (automatic);24.25;No;> 2 anos;Automatico;0.004116429732098571;No
6366-ZGQGL;No;1;Month-to-month;Bank transfer (automatic);24.8;Yes;< 1 ano;Automatico;0.22585458042238402;No
5940-AHUHD;No;1;Month-to-month;Mailed check;70.6;Yes;< 1 ano;Manual;0.5892119361884842;Yes
6432-TWQLB;No;5;Month-to-month;Electronic check;85.4;Yes;< 1 ano;Manual;0.6517968500217804;Yes
4484-GLZOU;No;52;Month-to-month;Electronic check;105.05;Yes;> 2 anos;Manual;0.38145617810230426;Yes
8645-KWHJO;No;14;Month-to-month;Electronic check;55;No;1-2 anos;Manual;0.3718187049000723;Yes
4130-MZLCC;No;5;Month-to-month;Bank transfer (automatic);50.55;No;< 1 ano;Automatico;0.3396765016186152;Yes
2080-SRCDE;No;1;Month-to-month;Mailed check;25.4;No;< 1 ano;Manual;0.29290069485052467;Yes
2294-SALNE;No;23;One year;Mailed check;86.8;No;1-2 anos;Manual;0.27126895825894315;Yes
4847-TAJYI;Yes;6;Month-to-month;Electronic check;89.35;No;< 1 ano;Manual;0.757744385043878;Yes
1563-IWQEX;No;12;Month-to-month;Mailed check;19.7;No;1-2 anos;Manual;0.19400357168412755;No
8181-YHCMF;No;68;Two year;Credit card (automatic);60.3;No;> 2 anos;Automatico;0.012216294997742181;No
1248-DYXUB;No;52;Two year;Mailed check;24.8;No;> 2 anos;Manual;0.01129145848124868;No
0265-EDXBD;Yes;32;Month-to-month;Electronic check;74.9;Yes;> 2 anos;Manual;0.4576919728777308;Yes
4115-BNPJY;No;29;Two year;Mailed check;75.55;No;> 2 anos;Manual;0.09361990503310133;No
5027-YOCXN;No;51;One year;Credit card (automatic);110.05;No;> 2 anos;Automatico;0.15889161033844024;No
2321-OMBXY;No;38;One year;Credit card (automatic);80.3;Yes;> 2 anos;Automatico;0.11634208483275754;No
6745-JEFZB;No;35;Month-to-month;Credit card (automatic);91.5;No;> 2 anos;Automatico;0.35598231110094203;Yes
5020-ZSTTY;Yes;54;One year;Bank transfer (automatic);82.45;Yes;> 2 anos;Automatico;0.11004552203160278;No
7102-JJVTX;No;9;One year;Mailed check;48.6;No;< 1 ano;Manual;0.1756191115962551;No
5804-LEPIM;Yes;2;Month-to-month;Electronic check;70.35;Yes;< 1 ano;Manual;0.6810720711780732;Yes
2739-CACDQ;Yes;17;Month-to-month;Credit card (automatic);82.65;No;1-2 anos;Automatico;0.5587190396944599;Yes
2379-GYFLQ;No;46;One year;Credit card (automatic);94.9;No;> 2 anos;Automatico;0.12929102883786317;No
7520-HQWJU;No;66;Month-to-month;Bank transfer (automatic);67.45;No;> 2 anos;Automatico;0.08768819227160563;No
2034-GDRCN;No;2;Month-to-month;Electronic check;90.4;Yes;< 1 ano;Manual;0.7046787544781201;Yes
8966-SNIZF;No;70;Two year;Bank transfer (automatic);19.45;No;> 2 anos;Automatico;0.0037381082305851386;No
0513-RBGPE;No;37;Two year;Credit card (automatic);62.8;No;> 2 anos;Automatico;0.037850932432028556;No
5160-UXJED;No;17;One year;Mailed check;44.6;No;1-2 anos;Manual;0.12596357015144863;No
4572-DVCGN;No;10;Month-to-month;Bank transfer (automatic);80.25;Yes;< 1 ano;Automatico;0.4939566372554195;Yes
8984-EYLLL;No;64;Two year;Electronic check;105.25;No;> 2 anos;Manual;0.06398254052374401;No
9294-TDIPC;No;5;Month-to-month;Mailed check;20.2;No;< 1 ano;Manual;0.2378184831101006;No
5176-LMJXE;No;47;Two year;Mailed check;20.55;No;> 2 anos;Manual;0.011966840595001972;No
7302-ZHMHP;No;1;Month-to-month;Mailed check;19.15;No;< 1 ano;Manual;0.25863398428366013;No
0259-GBZSH;No;2;Month-to-month;Electronic check;85.65;Yes;< 1 ano;Manual;0.6768107338903593;Yes
6862-CQUMB;No;37;Month-to-month;Credit card (automatic);96.1;No;> 2 anos;Automatico;0.3689632898153819;Yes
5651-CRHKQ;No;41;One year;Bank transfer (automatic);86.2;No;> 2 anos;Automatico;0.12230871183486333;No
6583-SZVGP;No;48;Two year;Bank transfer (automatic);108.1;No;> 2 anos;Automatico;0.08494692374589079;No
4895-TMWIR;Yes;11;Month-to-month;Mailed check;19.95;Yes;< 1 ano;Manual;0.2804472504744911;Yes
0533-BNWKF;Yes;55;Month-to-month;Electronic check;85.45;Yes;> 2 anos;Manual;0.3346297739008984;Yes
1708-PBBOA;No;42;One year;Electronic check;54.75;No;> 2 anos;Manual;0.07337085613021661;No
8782-LKFPK;No;44;Month-to-month;Mailed check;90.4;No;> 2 anos;Manual;0.353191634831753;Yes
3597-MVHJT;No;27;Month-to-month;Bank transfer (automatic);95.6;No;> 2 anos;Automatico;0.45034345371113266;Yes
9774-NRNAU;Yes;27;Month-to-month;Bank transfer (automatic);84.8;No;> 2 anos;Automatico;0.48598401131100777;Yes
9967-ATRFS;No;19;Month-to-month;Mailed check;19.9;No;1-2 anos;Manual;0.15915975659958756;No
0177-PXBAT;Yes;33;Month-to-month;Bank transfer (automatic);109.9;No;> 2 anos;Automatico;0.6041931649878126;Yes
6599-CEBNN;No;34;Month-to-month;Credit card (automatic);73.95;Yes;> 2 anos;Automatico;0.26115242153243273;Yes
4163-NCJAK;No;46;One year;Bank transfer (automatic);24.45;No;> 2 anos;Automatico;0.02097697047702945;No
5233-AOZUF;No;29;Month-to-month;Electronic check;74.95;No;> 2 anos;Manual;0.3768586159462862;Yes
5973-EJGDP;No;51;Month-to-month;Electronic check;87.35;No;> 2 anos;Manual;0.2819850843018091;Yes
5249-QYHEX;No;40;Two year;Mailed check;24.8;No;> 2 anos;Manual;0.01710712394666043;No
7663-ZTEGJ;No;29;One year;Credit card (automatic);100.55;No;> 2 anos;Automatico;0.2395630356801724;No
3935-TBRZZ;No;44;One year;Mailed check;25.7;No;> 2 anos;Manual;0.032154715205988664;No
8111-BKVDS;No;10;Month-to-month;Bank transfer (automatic);40.7;No;< 1 ano;Automatico;0.2476910474347913;No
2055-SIFSS;Yes;55;Month-to-month;Bank transfer (automatic);51.65;No;> 2 anos;Automatico;0.12453710836297781;No
7781-HVGMK;No;72;Two year;Credit card (automatic);65.2;No;> 2 anos;Automatico;0.012146471168799359;No
2181-UAESM;No;2;Month-to-month;Electronic check;53.45;No;< 1 ano;Manual;0.46364754820484805;Yes
6048-NJXHX;No;41;Two year;Electronic check;19.75;No;> 2 anos;Manual;0.014416138729475498;No
5168-MSWXT;No;8;Month-to-month;Electronic check;94.75;No;< 1 ano;Manual;0.6853648368133423;Yes
